Группа каталога,Тип локации,Регион,Город / кластер,АО Москвы,Район / локация,ЖК,Застройщик,Ссылка на чат,Ссылка исходная,Листы-источники,Строки-источники,Тип списка,Уверенность,Комментарий,slug_chat,slug_group,slug_region,slug_city_cluster,slug_district
Снегири,Другой город/регион,Республика Татарстан,Казань,,,ЖК Снегири,Снегири,https://t.me/JKSnegiriDolchiki,https://t.me/JKSnegiriDolchiki,Казань чаты,Казань чаты:6; Казань чаты:77,main,high,,zhk-snegiri,snegiri,respublika-tatarstan,kazan,
Совушки,Другой город/регион,Свердловская область,Екатеринбург,,,Совушки,Совушки,https://t.me/JKSovushkin,https://t.me/JKSovushkin,Екатеринбург чаты,Екатеринбург чаты:33,main,high,,sovushki,sovushki,sverdlovskaya-oblast,ekaterinburg,
Союз,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Галактика,Союз,https://t.me/JKgallaktikaJiltsi,https://t.me/JKgallaktikaJiltsi,Новосибирск чаты,Новосибирск чаты:58,main,high,,zhk-galaktika,soiuz,novosibirskaya-oblast,novosibirsk,
Союз,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Квартет,Союз,https://t.me/JKKvartetJiltsi,https://t.me/JKKvartetJiltsi,Новосибирск чаты,Новосибирск чаты:30,main,high,,zhk-kvartet,soiuz,novosibirskaya-oblast,novosibirsk,
Союз,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Новый горизонт,Союз,https://t.me/JKNoviygorizontJiltsi,https://t.me/JKNoviygorizontJiltsi,Новосибирск чаты,Новосибирск чаты:57,main,high,,zhk-novyy-gorizont,soiuz,novosibirskaya-oblast,novosibirsk,
Союз,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК САМОЦВЕТЫ,Союз,https://t.me/JKsamocveti,https://t.me/JKsamocveti,Новосибирск чаты,Новосибирск чаты:78,main,high,,zhk-samotsvety,soiuz,novosibirskaya-oblast,novosibirsk,
Союз,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Сибирь""",Союз,https://t.me/JKSibirSosedi,https://t.me/JKSibirSosedi,Питер чаты,Питер чаты:39,main,high,,zhk-sibir,soiuz,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Страна Девелопмент,Москва,Москва,Москва,ЗАО,Очаково-Матвеевское,ЖК Страна. Озерная,Страна Девелопмент,https://t.me/JKStranaOzernaya,https://t.me/JKStranaOzernaya,Москва чаты,Москва чаты:52,main,high,,zhk-strana-ozernaya,strana-development,moskva,moskva,ochakovo-matveevskoe
Страна Девелопмент,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК страна Береговая,Страна Девелопмент,https://t.me/JKStranaBeregovaya,https://t.me/JKStranaBeregovaya,Новосибирск чаты,Новосибирск чаты:99,main,high,,zhk-strana-beregovaya,strana-development,novosibirskaya-oblast,novosibirsk,
Страна Девелопмент,Другой город/регион,Свердловская область,Екатеринбург,,,Страна Энтузиастов,Страна Девелопмент,https://t.me/JKStranaEntuz,https://t.me/JKStranaEntuz,Екатеринбург чаты,Екатеринбург чаты:55,main,high,,strana-entuziastov,strana-development,sverdlovskaya-oblast,ekaterinburg,
Стрижи,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Авангард Парк,Стрижи,https://t.me/JKAvangardPark,https://t.me/JKAvangardPark,Новосибирск чаты,Новосибирск чаты:112,main,high,,zhk-avangard-park,strizhi,novosibirskaya-oblast,novosibirsk,
Стрижи,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Новелла,Стрижи,https://t.me/JkNovellaJiltsi,https://t.me/JkNovellaJiltsi,Новосибирск чаты,Новосибирск чаты:42,main,high,,zhk-novella,strizhi,novosibirskaya-oblast,novosibirsk,
Стрижи,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Русское солнце,Стрижи,https://t.me/JKRusskoeSolnseJiltsi,https://t.me/JKRusskoeSolnseJiltsi,Новосибирск чаты,Новосибирск чаты:40,main,high,,zhk-russkoe-solntse,strizhi,novosibirskaya-oblast,novosibirsk,
Строительная компания Аркада,Другой город/регион,Республика Татарстан,Казань,,,ЖК Резиденции МОН на Чернышевского,Строительная компания Аркада,https://t.me/RezedensiyaMONnaChernishevskogo,https://t.me/RezedensiyaMONnaChernishevskogo,Казань чаты,Казань чаты:15; Казань чаты:86,main,high,,zhk-rezidentsii-mon-na-chernyshevskogo,stroitel-naia-kompaniia-arkada,respublika-tatarstan,kazan,
Строительный Трест,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""NewПитер""",Строительный Трест,https://t.me/JKNewPiterSosedi,https://t.me/JKNewPiterSosedi,Питер чаты,Питер чаты:57,main,high,,zhk-newpiter,stroitel-nyi-trest,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Строительный Трест,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Наука""",Строительный Трест,https://t.me/JKNaukaSosedi,https://t.me/JKNaukaSosedi,Питер чаты,Питер чаты:26,main,high,,zhk-nauka,stroitel-nyi-trest,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Строительный Трест,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Парусная 1""",Строительный Трест,https://t.me/JKParusnaya1,https://t.me/JKParusnaya1,Питер чаты,Питер чаты:106,main,high,,zhk-parusnaya-1,stroitel-nyi-trest,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Строй Мир,Москва,Москва,Москва,ЮАО,Донской,ЖК DIUS (Диус),Строй Мир,https://t.me/JKDiusS,https://t.me/JKDiusS,Москва чаты,Москва чаты:132,main,medium,,zhk-dius-dius,stroi-mir,moskva,moskva,donskoy
СтройИнновация,Москва,Москва,Москва,ЗелАО,Зеленоград,ЖК Зеленоград Ривьера,СтройИнновация,https://t.me/ZhKZelenogradRiveraSosedi1,https://t.me/ZhKZelenogradRiveraSosedi1,Москва чаты,Москва чаты:221,main,high,,zhk-zelenograd-rivera,stroiinnovatsiia,moskva,moskva,zelenograd
Стройком,Новая Москва,Москва,Москва,НАО,Сосенское,ЖК  Новое Летово,Стройком,https://t.me/JKNovoeLetovo,https://t.me/JKNovoeLetovo,Москва чаты,Москва чаты:107,main,high,,zhk-novoe-letovo,stroikom,moskva,moskva,sosenskoe
Стройком,Новая Москва,Москва,Москва,ТАО,Десёновское,ЖК Новые Ватутинки,Стройком,https://t.me/ZhKNovyeVatutinkiSosedi,https://t.me/ZhKNovyeVatutinkiSosedi,Москва чаты,Москва чаты:219,main,high,,zhk-novye-vatutinki,stroikom,moskva,moskva,desenovskoe
Суварстроит,Другой город/регион,Республика Татарстан,Казань,,,ЖК Сказочный лес,Суварстроит,https://t.me/JKSkazocniylesDolchiki,https://t.me/JKSkazocniylesDolchiki,Казань чаты,Казань чаты:11; Казань чаты:82,main,high,,zhk-skazochnyy-les,suvarstroit,respublika-tatarstan,kazan,
Суварстроит,Другой город/регион,Республика Татарстан,Казань,,,ЖК на Хади Атласи,Суварстроит,https://t.me/JKnaHadiAtlasiDolchiki,https://t.me/JKnaHadiAtlasiDolchiki,Казань чаты,Казань чаты:8; Казань чаты:79,main,high,,zhk-na-hadi-atlasi,suvarstroit,respublika-tatarstan,kazan,
ТАТЭКОРЕСУРС,Другой город/регион,Республика Татарстан,Казань,,,ЖК Светский,ТАТЭКОРЕСУРС,https://t.me/JKSvetskiyDolchiki,https://t.me/JKSvetskiyDolchiki,Казань чаты,Казань чаты:5; Казань чаты:76,main,high,,zhk-svetskiy,tatekoresurs,respublika-tatarstan,kazan,
ТПУ РАССКАЗОВКА,Новая Москва,Москва,Москва,НАО,Московский,ЖК ГОРОДСКИЕ ИСТОРИИ,ТПУ РАССКАЗОВКА,https://t.me/ZhKGORODSKIEISTORIISosedi,https://t.me/ZhKGORODSKIEISTORIISosedi,Москва чаты,Москва чаты:161,main,high,,zhk-gorodskie-istorii,tpu-rasskazovka,moskva,moskva,moskovskiy
ТРЕТИЙ РИМ,Москва,Москва,Москва,ЦАО,Арбат,ЖК Никитский 6,ТРЕТИЙ РИМ,https://t.me/ZhKNikitskiy6Sosedi1,https://t.me/ZhKNikitskiy6Sosedi1,Москва чаты,Москва чаты:220,main,high,,zhk-nikitskiy-6,tretii-rim,moskva,moskva,arbat
ТСИ,Другой город/регион,Республика Татарстан,Казань,,,ЖК Мечта,ТСИ,https://t.me/JKMechtaDolchiki,https://t.me/JKMechtaDolchiki,Казань чаты,Казань чаты:22; Казань чаты:93,main,high,,zhk-mechta,tsi,respublika-tatarstan,kazan,
Таймс,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Новая история""",Таймс,https://t.me/JKNovayaistoriyaSosedi,https://t.me/JKNovayaistoriyaSosedi,Питер чаты,Питер чаты:86,main,high,,zhk-novaya-istoriya,taims,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Ташир,Москва,Москва,Москва,ЗАО,Можайский,ЖК STELLAR CITY,Ташир,https://t.me/ZhKSTELLARCITYSosedi,https://t.me/ZhKSTELLARCITYSosedi,Москва чаты,Москва чаты:217,main,high,,zhk-stellar-city,tashir,moskva,moskva,mozhayskiy
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК  TERRA 4 кв 26 г,Ташир,https://t.me/JKTERRADolchiki,https://t.me/JKTERRADolchiki,Казань чаты,Казань чаты:53; Казань чаты:124,main,high,,zhk-terra-4-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК 1712 4 кв 27 г,Ташир,https://t.me/JK1712Dolchiki,https://t.me/JK1712Dolchiki,Казань чаты,Казань чаты:70; Казань чаты:141,main,high,,zhk-1712-4-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК ART City 3 кв 27 г,Ташир,https://t.me/JKARTCityDolchiki,https://t.me/JKARTCityDolchiki,Казань чаты,Казань чаты:65; Казань чаты:136,main,high,,zhk-art-city-3-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК DUBRAVA 2.0 4 кв 25 г,Ташир,https://t.me/JKDUBRAVA20Dolchiki,https://t.me/JKDUBRAVA20Dolchiki,Казань чаты,Казань чаты:31; Казань чаты:102,main,high,,zhk-dubrava-2-0-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК GloraX Экосити 1 кв 27 г,Ташир,https://t.me/JKGloraXEkositiDolchiki,https://t.me/JKGloraXEkositiDolchiki,Казань чаты,Казань чаты:58; Казань чаты:129,main,high,,zhk-glorax-ekositi-1-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Manzara Towers 4 кв 27 г,Ташир,https://t.me/JKManzaraTowersDolchiki,https://t.me/JKManzaraTowersDolchiki,Казань чаты,Казань чаты:67; Казань чаты:138,main,high,,zhk-manzara-towers-4-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК NOVA 2 кв 26 г,Ташир,https://t.me/JKNOVADolchiki,https://t.me/JKNOVADolchiki,Казань чаты,Казань чаты:40; Казань чаты:111,main,high,,zhk-nova-2-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Promenade 2 кв 27 г,Ташир,https://t.me/JKPromenadeDolchiki,https://t.me/JKPromenadeDolchiki,Казань чаты,Казань чаты:64; Казань чаты:135,main,high,,zhk-promenade-2-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Q на Кулагина 3 кв 26 г,Ташир,https://t.me/JKQnaKulaginaDolchiki,https://t.me/JKQnaKulaginaDolchiki,Казань чаты,Казань чаты:46; Казань чаты:117,main,high,,zhk-q-na-kulagina-3-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Авторы на Годовикова 4 кв 26 г,Ташир,https://t.me/JKAvtorinaGodovikovaDolchiki,https://t.me/JKAvtorinaGodovikovaDolchiki,Казань чаты,Казань чаты:56; Казань чаты:127,main,high,,zhk-avtory-na-godovikova-4-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Авторы на Петербургской 3 кв 26 г,Ташир,https://t.me/JKAvtorinaPeterburgskoyDolchiki,https://t.me/JKAvtorinaPeterburgskoyDolchiki,Казань чаты,Казань чаты:48; Казань чаты:119,main,high,,zhk-avtory-na-peterburgskoy-3-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Адали 4 кв 27 г,Ташир,https://t.me/JKAdaliDolchiki,https://t.me/JKAdaliDolchiki,Казань чаты,Казань чаты:69; Казань чаты:140,main,high,,zhk-adali-4-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Аквамарин 2 кв 26 г,Ташир,https://t.me/JKAkvamarinDolchiki,https://t.me/JKAkvamarinDolchiki,Казань чаты,Казань чаты:38; Казань чаты:109,main,high,,zhk-akvamarin-2-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Главные роли 2 кв 28 г,Ташир,https://t.me/JKGlavnieroliDolchiki,https://t.me/JKGlavnieroliDolchiki,Казань чаты,Казань чаты:72; Казань чаты:143,main,high,,zhk-glavnye-roli-2-kv-28-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Династия 3 кв 26 г,Ташир,https://t.me/JKDinastiyaDolchiki,https://t.me/JKDinastiyaDolchiki,Казань чаты,Казань чаты:44; Казань чаты:115,main,high,,zhk-dinastiya-3-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Дом на Исхаки 4 кв 26 г,Ташир,https://t.me/JKDomnaIshakiDolchiki,https://t.me/JKDomnaIshakiDolchiki,Казань чаты,Казань чаты:51; Казань чаты:122,main,high,,zhk-dom-na-ishaki-4-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК ЗАРЯ 4 кв 27 г,Ташир,https://t.me/JKZARYADolchiki,https://t.me/JKZARYADolchiki,Казань чаты,Казань чаты:68; Казань чаты:139,main,high,,zhk-zarya-4-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК КОМОС НА ТУКАЯ 4 кв 25 г,Ташир,https://t.me/JKKOMOSNATUKAYADolchiki,https://t.me/JKKOMOSNATUKAYADolchiki,Казань чаты,Казань чаты:27; Казань чаты:98,main,high,,zhk-komos-na-tukaya-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Кастура Таун 1 кв 27 г,Ташир,https://t.me/JKKasturaTaunDolchiki,https://t.me/JKKasturaTaunDolchiki,Казань чаты,Казань чаты:61; Казань чаты:132,main,high,,zhk-kastura-taun-1-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Квартал Сюита 1 кв 26 г,Ташир,https://t.me/JKKvartalSuitaDolchiki,https://t.me/JKKvartalSuitaDolchiki,Казань чаты,Казань чаты:33; Казань чаты:104,main,high,,zhk-kvartal-syuita-1-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Клубный дом Шаляпина XV 3 кв 26 г,Ташир,https://t.me/JKKlubniydomnaShalapinaXVDolchik,https://t.me/JKKlubniydomnaShalapinaXVDolchik,Казань чаты,Казань чаты:49; Казань чаты:120,main,high,,zhk-klubnyy-dom-shalyapina-xv-3-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Лето 4 кв 25 г,Ташир,https://t.me/JKLetoDolchiki,https://t.me/JKLetoDolchiki,Казань чаты,Казань чаты:23; Казань чаты:94,main,high,,zhk-leto-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Матюшино парк 1 кв 27 г,Ташир,https://t.me/JKMatushinoparkDolchiki,https://t.me/JKMatushinoparkDolchiki,Казань чаты,Казань чаты:57; Казань чаты:128,main,high,,zhk-matyushino-park-1-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Минтимер 3 кв 27 г,Ташир,https://t.me/JKMintimerDolchiki,https://t.me/JKMintimerDolchiki,Казань чаты,Казань чаты:66; Казань чаты:137,main,high,,zhk-mintimer-3-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Мифы 3 кв 26 г,Ташир,https://t.me/JKMifiDolchiki,https://t.me/JKMifiDolchiki,Казань чаты,Казань чаты:47; Казань чаты:118,main,high,,zhk-mify-3-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Мой Ритм 4 кв 26 г,Ташир,https://t.me/JKMoyRitmDolchiki,https://t.me/JKMoyRitmDolchiki,Казань чаты,Казань чаты:50; Казань чаты:121,main,high,,zhk-moy-ritm-4-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Наследие 2 кв 27 г,Ташир,https://t.me/JKNasledieDolchiki,https://t.me/JKNasledieDolchiki,Казань чаты,Казань чаты:63; Казань чаты:134,main,high,,zhk-nasledie-2-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Нити 4 кв 26 г,Ташир,https://t.me/JKNitiDolchiki,https://t.me/JKNitiDolchiki,Казань чаты,Казань чаты:55; Казань чаты:126,main,high,,zhk-niti-4-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Новые горки 4 кв 25 г,Ташир,https://t.me/JKNoviegorkiDolchiki,https://t.me/JKNoviegorkiDolchiki,Казань чаты,Казань чаты:28; Казань чаты:99,main,high,,zhk-novye-gorki-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Нокса парк 2 кв 26 г,Ташир,https://t.me/JKNoksaparkDolchiki,https://t.me/JKNoksaparkDolchiki,Казань чаты,Казань чаты:35; Казань чаты:106,main,high,,zhk-noksa-park-2-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Ометьевский Парк 1 кв 27 г,Ташир,https://t.me/JKOmetevskiyParkDolchiki,https://t.me/JKOmetevskiyParkDolchiki,Казань чаты,Казань чаты:60; Казань чаты:131,main,high,,zhk-ometevskiy-park-1-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Оригана 2 кв 28 г,Ташир,https://t.me/JKOriganaDolchiki,https://t.me/JKOriganaDolchiki,Казань чаты,Казань чаты:71; Казань чаты:142,main,high,,zhk-origana-2-kv-28-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Отражение 4 кв 25 г,Ташир,https://t.me/JKOtrajenieDolchiki,https://t.me/JKOtrajenieDolchiki,Казань чаты,Казань чаты:32; Казань чаты:103,main,high,,zhk-otrazhenie-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Параллели,Ташир,https://t.me/JKParalleliDolchiki,https://t.me/JKParalleliDolchiki,Казань чаты,Казань чаты:20; Казань чаты:91,main,high,,zhk-paralleli,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК ПаркМаяк 2 кв 26 г,Ташир,https://t.me/JKParkMayakDolchiki,https://t.me/JKParkMayakDolchiki,Казань чаты,Казань чаты:39; Казань чаты:110,main,high,,zhk-parkmayak-2-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Поколение 4 кв 25 г,Ташир,https://t.me/JKPoulAdelyaKutuYa83aDolchiki,https://t.me/JKPoulAdelyaKutuYa83aDolchiki,Казань чаты,Казань чаты:29; Казань чаты:100,main,high,,zhk-pokolenie-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Притяжение 2 кв 26 г,Ташир,https://t.me/JKPrityajenieDolchiki,https://t.me/JKPrityajenieDolchiki,Казань чаты,Казань чаты:37; Казань чаты:108,main,high,,zhk-prityazhenie-2-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Риваят 4 кв 26 г,Ташир,https://t.me/JKRivayatDolchiki,https://t.me/JKRivayatDolchiki,Казань чаты,Казань чаты:52; Казань чаты:123,main,high,,zhk-rivayat-4-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Сиберово 3 кв 26 г,Ташир,https://t.me/JKSiberovoDolchiki,https://t.me/JKSiberovoDolchiki,Казань чаты,Казань чаты:42; Казань чаты:113,main,high,,zhk-siberovo-3-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Солнечный город 4 кв 25 г,Ташир,https://t.me/JKSolnechniygorodDolchiki,https://t.me/JKSolnechniygorodDolchiki,Казань чаты,Казань чаты:25; Казань чаты:96,main,high,,zhk-solnechnyy-gorod-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Станция Спортивная 2 кв 26 г,Ташир,https://t.me/JKStantsiyaSportivnayaDolchiki,https://t.me/JKStantsiyaSportivnayaDolchiki,Казань чаты,Казань чаты:36; Казань чаты:107,main,high,,zhk-stantsiya-sportivnaya-2-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Статный 3 кв 26 г,Ташир,https://t.me/JKStatniyDolchiki,https://t.me/JKStatniyDolchiki,Казань чаты,Казань чаты:45; Казань чаты:116,main,high,,zhk-statnyy-3-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Стрела 3 кв 26 г,Ташир,https://t.me/JKStrelaDolchiki,https://t.me/JKStrelaDolchiki,Казань чаты,Казань чаты:43; Казань чаты:114,main,high,,zhk-strela-3-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Уникум на Проспекте Победы 1 кв 2027 г,Ташир,https://t.me/JKUnikumnaProspektePobediDolchik,https://t.me/JKUnikumnaProspektePobediDolchik,Казань чаты,Казань чаты:59; Казань чаты:130,main,high,,zhk-unikum-na-prospekte-pobedy-1-kv-2027-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Усадьба Царëво-2 4 кв 25 г,Ташир,https://t.me/JKUsadbaTsarevo2Dolchiki,https://t.me/JKUsadbaTsarevo2Dolchiki,Казань чаты,Казань чаты:24; Казань чаты:95,main,high,,zhk-usadba-tsar-vo-2-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Фермаполис 4 кв 26 г,Ташир,https://t.me/JKFermopolisDolchiki,https://t.me/JKFermopolisDolchiki,Казань чаты,Казань чаты:54; Казань чаты:125,main,high,,zhk-fermapolis-4-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Фриссон 2 кв 27 г,Ташир,https://t.me/JKFrissonDolchiki,https://t.me/JKFrissonDolchiki,Казань чаты,Казань чаты:62; Казань чаты:133,main,high,,zhk-frisson-2-kv-27-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Эдельвейс 2 кв 26 г,Ташир,https://t.me/JKEdelveisDolchiki,https://t.me/JKEdelveisDolchiki,Казань чаты,Казань чаты:41; Казань чаты:112,main,high,,zhk-edelveys-2-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Элегия 2 кв 26 г,Ташир,https://t.me/JKEligeyaDolchiki,https://t.me/JKEligeyaDolchiki,Казань чаты,Казань чаты:34; Казань чаты:105,main,high,,zhk-elegiya-2-kv-26-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК Яналиф 4 кв 25 г,Ташир,https://t.me/JKYanalifDolchiki,https://t.me/JKYanalifDolchiki,Казань чаты,Казань чаты:26; Казань чаты:97,main,high,,zhk-yanalif-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Республика Татарстан,Казань,,,ЖК на Айвазовского 4 кв 25 г,Ташир,https://t.me/JKnaAivazovskogoDolchiki,https://t.me/JKnaAivazovskogoDolchiki,Казань чаты,Казань чаты:30; Казань чаты:101,main,high,,zhk-na-ayvazovskogo-4-kv-25-g,tashir,respublika-tatarstan,kazan,
Ташир,Другой город/регион,Свердловская область,Екатеринбург,,,12 Квартал,Ташир,https://t.me/JK12Kvartal,https://t.me/JK12Kvartal,Екатеринбург чаты,Екатеринбург чаты:29,main,high,,12-kvartal,tashir,sverdlovskaya-oblast,ekaterinburg,
Ташир,Другой город/регион,Свердловская область,Екатеринбург,,,7Я,Ташир,https://t.me/JK7Ya,https://t.me/JK7Ya,Екатеринбург чаты,Екатеринбург чаты:44,main,high,,7ya,tashir,sverdlovskaya-oblast,ekaterinburg,
Ташир,Другой город/регион,Свердловская область,Екатеринбург,,,Estelle,Ташир,https://t.me/JKEstelle,https://t.me/JKEstelle,Екатеринбург чаты,Екатеринбург чаты:52,main,high,,estelle,tashir,sverdlovskaya-oblast,ekaterinburg,
Ташир,Другой город/регион,Свердловская область,Екатеринбург,,,VEЕR РАRК,Ташир,https://t.me/JKVeerPark,https://t.me/JKVeerPark,Екатеринбург чаты,Екатеринбург чаты:12,main,high,,veer-rark,tashir,sverdlovskaya-oblast,ekaterinburg,
Ташир,Другой город/регион,Свердловская область,Екатеринбург,,,Академ-Центр,Ташир,https://t.me/JKAkademCentr,https://t.me/JKAkademCentr,Екатеринбург чаты,Екатеринбург чаты:30,main,high,,akadem-tsentr,tashir,sverdlovskaya-oblast,ekaterinburg,
Ташир,Другой город/регион,Свердловская область,Екатеринбург,,,Ботаника Грин Хаус,Ташир,https://t.me/JKBotanikaGreenHous,https://t.me/JKBotanikaGreenHous,Екатеринбург чаты,Екатеринбург чаты:26,main,high,,botanika-grin-haus,tashir,sverdlovskaya-oblast,ekaterinburg,
Ташир,Другой город/регион,Свердловская область,Екатеринбург,,,Горки,Ташир,https://t.me/JKGorki,https://t.me/JKGorki,Екатеринбург чаты,Екатеринбург чаты:6,main,high,,gorki,tashir,sverdlovskaya-oblast,ekaterinburg,
